KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T14:48:00.684+01:00,NaplataPutarine,KH0492BP,2022-01-16T14:47:56.000+01:00,"Morović - Šimanovci",,2300,2022-01-16T14:47:56.000+01:00,425307791,19221102239,2022-01-16T13:56:40.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 14:47:56","16.01.2022 13:56:40"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T07:41:30.609+01:00,NaplataPutarine,07AED425,2022-01-16T07:41:26.000+01:00,"Šid - Šimanovci",,2580,2022-01-16T07:41:26.000+01:00,425307795,19221102270,2022-01-16T06:43:08.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 07:41:26","16.01.2022 06:43:08"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T12:38:49.328+01:00,NaplataPutarine,07AED425,2022-01-16T12:38:46.000+01:00,"Beograd - Dimitrovgrad",,7860,2022-01-16T12:38:46.000+01:00,425307795,19221102270,2022-01-16T08:25:36.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 12:38:46","16.01.2022 08:25:36"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T05:13:43.436+01:00,NaplataPutarine,34SU0086,2022-01-16T05:13:42.000+01:00,"Smederevo - Dimitrovgrad",,6790,2022-01-16T05:13:42.000+01:00,425307825,19221102577,2022-01-16T01:01:40.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 05:13:42","16.01.2022 01:01:40"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T12:48:30.736+01:00,NaplataPutarine,PZ373DN,2022-01-16T12:48:26.000+01:00,"Dimitrovgrad - Beograd",,7860,2022-01-16T12:48:26.000+01:00,425310903,19221133358,2022-01-16T08:29:20.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 12:48:26","16.01.2022 08:29:20"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T14:23:31.423+01:00,NaplataPutarine,PZ373DN,2022-01-16T14:23:30.000+01:00,"Šimanovci - Adaševci",,2300,2022-01-16T14:23:30.000+01:00,425310903,19221133358,2022-01-16T13:32:10.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 14:23:30","16.01.2022 13:32:10"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T04:42:46.805+01:00,NaplataPutarine,SK3186AG,2022-01-16T04:42:40.000+01:00,"Subotica - Stara Pazova",,3810,2022-01-16T04:42:40.000+01:00,425310927,19221133598,2022-01-16T03:10:14.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 04:42:40","16.01.2022 03:10:14"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T11:30:42.173+01:00,NaplataPutarine,SK3186AG,2022-01-16T11:30:38.000+01:00,"Beograd - Preševo",,8910,2022-01-16T11:30:38.000+01:00,425310927,19221133598,2022-01-16T05:38:02.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 11:30:38","16.01.2022 05:38:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T12:12:58.198+01:00,NaplataPutarine,07DKC21,2022-01-16T12:12:54.000+01:00,"Šid - Šimanovci",,2580,2022-01-16T12:12:54.000+01:00,425311470,19221139025,2022-01-16T11:20:12.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 12:12:54","16.01.2022 11:20:12"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,16.01.2022.,2022-01-16T04:07:43.828+01:00,NaplataPutarine,SK3767AJ,2022-01-16T04:07:42.000+01:00,"Morović - Šimanovci",,2300,2022-01-16T04:07:42.000+01:00,425311513,19221139454,2022-01-15T18:12:56.000+01:00,16.01.2022.,16.01.2022.,"16.01.2022 04:07:42","15.01.2022 18:12:56"
