ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007018,21390224604,563894204,34EYP913,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 02:30:05",171014,09.03.2032.,"09.03.2022. 02:28:11",09.03.2022.
2411000000007019,21390224562,563894200,22ABR125,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 04:03:06",171014,09.03.2032.,"09.03.2022. 04:01:45",09.03.2022.
2411000000007020,21390224521,563894196,42US671,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 05:33:08",171014,09.03.2032.,"09.03.2022. 05:29:08",09.03.2022.
2411000000007021,21390224489,563894192,42CEK08,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 06:00:08",171014,09.03.2032.,"09.03.2022. 05:58:27",09.03.2022.
2411000000007022,21390224448,563894188,BPBM572,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 09:03:11",171014,09.03.2032.,"09.03.2022. 09:02:04",09.03.2022.
2411000000007023,21390224406,563894184,PK4589BP,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 09:09:11",171014,09.03.2032.,"09.03.2022. 09:05:21",09.03.2022.
2411000000007024,21390224364,563894180,28NE510,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 09:39:12",171014,09.03.2032.,"09.03.2022. 09:35:57",09.03.2022.
2411000000007025,21390224323,563894176,42DGA13,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 09:45:13",171014,09.03.2032.,"09.03.2022. 09:41:10",09.03.2022.
2411000000007026,21390224281,563894172,22UL233,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 12:18:14",171014,09.03.2032.,"09.03.2022. 12:16:34",09.03.2022.
2411000000007027,21390224240,563894168,34ENC493,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 13:26:17",171014,09.03.2032.,"09.03.2022. 13:26:06",09.03.2022.
2411000000007028,21390224208,563894164,22ABT780,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 13:32:20",171014,09.03.2032.,"09.03.2022. 13:31:13",09.03.2022.
2411000000007029,21390224166,563894160,35AKU287,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 13:38:22",171014,09.03.2032.,"09.03.2022. 13:35:29",09.03.2022.
2411000000007030,21390224125,563894156,42AGT770,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 15:08:20",171014,09.03.2032.,"09.03.2022. 15:06:12",09.03.2022.
2411000000007031,21390224083,563894152,22UB845,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 15:27:17",171014,09.03.2032.,"09.03.2022. 15:23:55",09.03.2022.
2411000000007032,21390224042,563894148,34GA7679,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 17:30:19",171014,09.03.2032.,"09.03.2022. 17:27:44",09.03.2022.
2411000000007033,21390224992,563894243,54H0739,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 19:09:20",171014,09.03.2032.,"09.03.2022. 19:07:21",09.03.2022.
2411000000007034,21390224976,563894241,34ENC524,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 20:09:21",171014,09.03.2032.,"09.03.2022. 20:06:29",09.03.2022.
2411000000007035,21390233258,563895069,GA277GU,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 20:30:22",171014,09.03.2032.,"09.03.2022. 20:28:31",09.03.2022.
2411000000007036,21390233217,563895065,22AAV179,4,2022-03-09T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"09.03.2022. 22:42:24",171014,09.03.2032.,"09.03.2022. 22:38:42",09.03.2022.
2412000000001173,21390362255,563907969,KRFT294,4,2022-03-09T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"09.03.2022. 02:15:05",171014,09.03.2032.,"09.03.2022. 02:12:43",09.03.2022.
