ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006821,21390215925,563893336,34ESL494,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006822,21390215883,563893332,16ABP958,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006823,21390215842,563893328,34EYR023,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006824,21390215800,563893324,34ESA914,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006825,21390215768,563893320,34EDL893,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006826,21390215164,563893260,34DKR364,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006827,21390215248,563893268,34EMT390,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006828,21390215206,563893264,34EYR547,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006829,21390215321,563893276,34EVC977,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006830,21390215289,563893272,34EYP874,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
2411000000006831,21390215404,563893284,14AB878,4,2022-02-10T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,10.02.2022.,171014,10.02.2022.
