KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T09:53:06.756+01:00,NaplataPutarine,CB3215MC,2021-11-21T09:53:04.000+01:00,"Morović - Šimanovci",,2300,2021-11-21T09:53:04.000+01:00,424729599,19200563195,2021-11-21T09:01:22.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 09:53:04","21.11.2021 09:01:22"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T14:54:15.527+01:00,NaplataPutarine,CB3215MC,2021-11-21T14:54:10.000+01:00,"Beograd - Dimitrovgrad",,7860,2021-11-21T14:54:10.000+01:00,424729599,19200563195,2021-11-21T10:36:34.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 14:54:10","21.11.2021 10:36:34"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T04:04:48.640+01:00,NaplataPutarine,CB0485KB,2021-11-21T04:04:42.000+01:00,"Morović - Šimanovci",,2300,2021-11-21T04:04:42.000+01:00,424729656,19200563765,2021-11-21T03:14:04.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 04:04:42","21.11.2021 03:14:04"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T08:48:51.963+01:00,NaplataPutarine,CB0485KB,2021-11-21T08:48:48.000+01:00,"Beograd - Vladičin Han",,7390,2021-11-21T08:48:48.000+01:00,424729656,19200563765,2021-11-21T04:46:02.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 08:48:48","21.11.2021 04:46:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T00:01:32.499+01:00,NaplataPutarine,34CJB240,2021-11-21T00:01:30.000+01:00,"Pirot zapad - Beograd",,7020,2021-11-21T00:01:30.000+01:00,425307787,19221102197,2021-11-20T11:16:16.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 00:01:30","20.11.2021 11:16:16"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T02:15:45.274+01:00,NaplataPutarine,34CJB240,2021-11-21T02:15:42.000+01:00,"Šimanovci - Šid",,2580,2021-11-21T02:15:42.000+01:00,425307787,19221102197,2021-11-21T01:23:16.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 02:15:42","21.11.2021 01:23:16"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T06:00:50.314+01:00,NaplataPutarine,KH0492BP,2021-11-21T06:00:48.000+01:00,"Šid - Šimanovci",,2580,2021-11-21T06:00:48.000+01:00,425307791,19221102239,2021-11-21T05:09:30.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 06:00:48","21.11.2021 05:09:30"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T10:49:32.184+01:00,NaplataPutarine,KH0492BP,2021-11-21T10:49:30.000+01:00,"Beograd - Vladičin Han",,7390,2021-11-21T10:49:30.000+01:00,425307791,19221102239,2021-11-21T06:43:20.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 10:49:30","21.11.2021 06:43:20"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T05:33:10.295+01:00,NaplataPutarine,PZ373DN,2021-11-21T05:33:08.000+01:00,"Šimanovci - Adaševci",,2300,2021-11-21T05:33:08.000+01:00,425310903,19221133358,2021-11-21T04:41:12.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 05:33:08","21.11.2021 04:41:12"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,21.11.2021.,2021-11-21T18:09:40.619+01:00,NaplataPutarine,CB0245MA,2021-11-21T18:09:38.000+01:00,"Dimitrovgrad - Mali Požarevac",,7390,2021-11-21T18:09:38.000+01:00,425311517,19221139496,2021-11-21T14:03:20.000+01:00,21.11.2021.,21.11.2021.,"21.11.2021 18:09:38","21.11.2021 14:03:20"
