ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2410000000000215,21250663792,560268107,VA180RL,4,2022-04-01T00:00:00.000+02:00,9410,Ugovor,3,Postpaid,"01.04.2022. 10:48:42",171014,01.04.2032.,"01.04.2022. 10:46:42",01.04.2022.
2410000000000217,21250664006,560268128,J62K535,3,2022-04-01T00:00:00.000+02:00,9410,Ugovor,3,Postpaid,"01.04.2022. 14:15:45",171014,01.04.2032.,"01.04.2022. 14:14:52",01.04.2022.
2411000000007222,20300723721,544807604,34FBZ380,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 08:34:40",171014,01.04.2032.,"01.04.2022. 08:32:42",01.04.2022.
2411000000007223,20300723689,544807600,61AER383,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 11:01:42",171014,01.04.2032.,"01.04.2022. 10:59:32",01.04.2022.
2411000000007224,20300723648,544807596,34EZE915,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 11:57:47",171014,01.04.2032.,"01.04.2022. 11:54:34",01.04.2022.
2411000000007225,20300723606,544807592,81EL199,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 12:15:44",171014,01.04.2032.,"01.04.2022. 12:15:22",01.04.2022.
2411000000007226,20300723564,544807588,34ENC476,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 12:33:44",171014,01.04.2032.,"01.04.2022. 12:30:35",01.04.2022.
2411000000007227,20300723523,544807584,14AT634,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 17:03:48",171014,01.04.2032.,"01.04.2022. 17:01:59",01.04.2022.
2411000000007228,20300723481,544807580,34ENJ111,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 20:12:51",171014,01.04.2032.,"01.04.2022. 20:10:12",01.04.2022.
2411000000007229,20300723440,544807576,41DM036,4,2022-04-01T00:00:00.000+02:00,9411,Ugovor,3,Postpaid,"01.04.2022. 23:06:53",171014,01.04.2032.,"01.04.2022. 23:04:34",01.04.2022.
2412000000001194,21390362933,563908037,34LOG14,4,2022-04-01T00:00:00.000+02:00,9412,Ugovor,3,Postpaid,"01.04.2022. 10:03:42",171014,01.04.2032.,"01.04.2022. 10:01:22",01.04.2022.
