ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006881,21390215305,563893274,34ENJ025,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006882,21390215263,563893270,34PK8024,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006883,21390215388,563893282,42ALC669,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006884,21390215347,563893278,34EML930,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006885,21390215461,563893290,42CBG89,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006886,21390215420,563893286,K51O280,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006887,21390215545,563893298,06CEZ896,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006888,21390215503,563893294,34ERP402,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006889,21390215628,563893306,35APT14,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006890,21390215586,563893302,34EYR966,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2411000000006891,21390215040,563893248,42AIN501,4,2022-02-19T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
2412000000001157,21390362503,563907994,ZG9780IL,3,2022-02-19T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,19.02.2022.,171014,19.02.2022.
